year	occ	pr
1929	1.49896985616066	11.886157681965
1930	1.80711900230336	9.8599865366991
1931	2.39488179570668	7.99896459684461
1932	3.50869975907368	5.89366501190658
1933	4.65816546473548	5.59590297465294
1934	4.34970850700022	7.2260696830125
1935	3.42600952010293	9.10030386268294
1936	2.70691084702013	9.56767571155355
1937	2.26745077601172	9.91903515281147
1938	2.48085989712839	8.49757101763524
1939	2.43263807896281	9.18171594252447
1940	2.11574308120447	10.2348202536633
1941	1.88624200219905	12.4296154645601
1942	2.3713520119523	14.6396817429875
1943	3.54219950755044	15.8868569255889
1944	3.93505665984969	15.4619863889267
1945	3.42875345329358	14.202758982692
1946	2.47776057123033	12.8415630240506
1947	1.97904742807591	11.5656510441099
1948	1.92254051893303	12.1100635055455
1949	2.10228163365065	10.6837773372133
1950	2.11121225816017	11.3348808022089
1951	2.11344276868729	11.5426285456719
1952	2.30188600946828	10.8173197342884
1953	2.30105510157404	10.4155833822931
1954	2.3720704680132	10.1768352387832
1955	2.31198543936136	10.840610303265
1956	2.29761993181965	10.1542079077696
1957	2.43174040824837	9.79829729085561
1958	2.71417607103443	9.48531543770895
1959	2.66427553883185	10.0691671258545
1960	2.55882149073211	9.75701966103425
1961	2.64447974411223	9.92489789660724
1962	2.57121854509231	10.3935437346383
1963	2.44627145031035	10.6460941217785
1964	2.33562194524379	10.8723134836123
1965	2.20040666673091	11.2822830359338
1966	2.11156037112902	11.2289263090801
1967	2.18685958939404	10.5696894504339
1968	2.26267863870671	10.3388640972026
1969	2.26582004540229	9.70651317835619
1970	2.43896047758217	8.80452777780937
1971	2.62642902520885	9.00123600627019
1972	2.58057493717994	9.20292645462643
1973	2.49923252507919	9.3525862369492
1974	2.8184475049293	8.32511934848417
1975	3.56458421400628	8.24284109769633
1976	3.79454612932969	8.4595439066307
1977	3.65675994283547	8.52327090119431
1978	3.5038806983893	8.58295195633104
1979	3.57127472223883	8.01960140026424
1980	4.11042186304563	7.22015157666635
1981	4.6291777241843	7.51322680422155
1982	5.24331693728933	7.1223974418786
1983	5.40516999008133	7.58170341358109
1984	4.80534844875972	8.60002681346727
1985	4.47490823954156	8.5931316009004
1986	4.50765826907478	8.10840276119614
1987	4.58739189158072	8.15622374558494
1988	4.62841696735222	8.48021038791678
1989	4.64770983879789	8.4523615219416
1990	4.79965157816621	8.14860894578718
1991	5.19924905854504	7.93521065239256
1992	5.3873520542605	8.06344433086799
1993	5.16278853373998	8.24268333101006
1994	4.90334092206581	8.67025018806621
1995	4.70222823266715	8.8876619744894
1996	4.49323535633195	9.3197904336632
1997	4.23501329492628	9.58880599569387
1998	4.00043140488234	9.44458894830068
1999	3.79604414999615	9.26143395229548
2000	3.68720349681485	9.03669837247363
2001	3.85163183204596	8.81133931548637
2002	4.22504298532684	8.79757830977252
2003	4.44750562182638	8.90501389018782
2004	4.47317220252707	9.01644882199641
2005	4.51826247941684	9.09945840712464
2006	4.60064519719535	9.18738403146727
2007	4.7741504916956	8.40891152639681
2008	5.1380878675752	7.74392121078516
2009	6.10532548441007	7.87433605404386
2010	6.55975782272294	9.06224684927625
2011	6.26845297096267	9.37682846270334
2012	5.81673961873636	9.779817797164
2013	5.5063968311699	9.57353619484864
2014	5.29386067454484	9.59239877169302
2015	5.07659917396871	9.31525030826443
2016	5.00582214499021	8.95171153659944
2017	4.97546916356487	8.82348449682132
2018	4.88492348360622	8.89037192614678
2019	4.85262929818624	8.78989592611525
2020	5.41725210344107	8.64600736397161
2021	5.57687455584239	9.39154509665925
2022	5.76074701941967	8.9243845592467
2023	5.88049936408387	8.83258044394811
2024	5.80145703862229	8.99831611282654
