№	Цикл	Период	Кризис	Депрессия	Оживление	Подъем	Промежутки К	Промежутки П
1	1920-01-01 – 1929-08-01	115	14	4	16	30	0	51
2	1929-08-01 – 1937-05-01	93	35	8	45	5	0	0
3	1937-05-01 – 1948-11-01	126	7	6	16	64	0	45
4	1948-11-01 – 1957-08-01	105	6	5	5	70	0	19
5	1957-08-01 – 1969-12-01	148	16	2	5	101	24	0
6	1969-12-01 – 1980-01-01	133	14	1	12	59	0	39
7	1980-01-01 – 1990-07-01	126	22	3	11	78	12	0
8	1990-07-01 – 2001-03-01	128	7	2	12	107	0	0
9	2001-03-01 – 2007-12-01	81	7	2	12	59	0	0
10	2007-12-01 – 2020-02-01	146	17	2	59	68	0	0
11	2020-02-01 – ???	???	2	1	60	0	0	0
